Associated Business - Associated Business Insolvency,Associated Business - HM Court Data,Associated Business - Charges on other businesses,Business - Director resignations,Business - Accounts Overdue,Business - Incorporation Date,Business - Adverse SIC Code,Director - Director bankruptcy,Director - Director disqualifications,Director - Director country of residence,Director - Director nationality,Director - Director average age,Director - Director Personal Insolvency,Psc - UBO nationality,Psc - UBO is overseas company?,Psc - Recent ownership changes,Financials - Negative Audit report,Financials - Negative Balance Sheet,Financials - Estimated Losses,Financials - Substantial Debts
,,02571602,,,,,,,,,,,,,,,,,04113338
,,02324980,,,,,,,,,,,,,,,,,04193293
,,02453601,,,,,,,,,,,,,,,,,03685155
,,01836824,,,,,,,,,,,,,,,,,03840674
,,02221362,,,,,,,,,,,,,,,,,04167526
,,02027001,,,,,,,,,,,,,,,,,04043845
,,02231437,,,,,,,,,,,,,,,,,03967698
,,01740557,,,,,,,,,,,,,,,,,04087772
,,02515314,,,,,,,,,,,,,,,,,03859367
,,02213734,,,,,,,,,,,,,,,,,04142678
,,01570409,,,,,,,,,,,,,,,,,03867561
,,01851780,,,,,,,,,,,,,,,,,03858599
,,01750045,,,,,,,,,,,,,,,,,03714193
,,02168907,,,,,,,,,,,,,,,,,03879044
,,01991838,,,,,,,,,,,,,,,,,04001363
,,01651167,,,,,,,,,,,,,,,,,04188950
,,01529017,,,,,,,,,,,,,,,,,03938360
,,01883845,,,,,,,,,,,,,,,,,03674510
,,02091066,,,,,,,,,,,,,,,,,03766330
,,02041598,,,,,,,,,,,,,,,,,04132912
,,01824788,,,,,,,,,,,,,,,,,04210685
,,01943697,,,,,,,,,,,,,,,,,03970868
,,01765119,,,,,,,,,,,,,,,,,04026531
,,02354689,,,,,,,,,,,,,,,,,04093237
,,01639465,,,,,,,,,,,,,,,,,03894660
,,01570148,,,,,,,,,,,,,,,,,04214056
,,02248449,,,,,,,,,,,,,,,,,04083974
,,01929517,,,,,,,,,,,,,,,,,03748606
,,01969077,,,,,,,,,,,,,,,,,04171739
,,01554709,,,,,,,,,,,,,,,,,04230174
,,02155638,,,,,,,,,,,,,,,,,04373358
,,02495369,,,,,,,,,,,,,,,,,04518467
,,01877012,,,,,,,,,,,,,,,,,04345156
,,01925337,,,,,,,,,,,,,,,,,04241216
,,02062528,,,,,,,,,,,,,,,,,04241381
,,02063036,,,,,,,,,,,,,,,,,04567369
,,01955847,,,,,,,,,,,,,,,,,04403183
,,01597335,,,,,,,,,,,,,,,,,04409536
,,02184127,,,,,,,,,,,,,,,,,04404474
,,02386239,,,,,,,,,,,,,,,,,04258792
,,02554655,,,,,,,,,,,,,,,,,04335586
,,02413935,,,,,,,,,,,,,,,,,04567447
,,01632099,,,,,,,,,,,,,,,,,04499349
,,01644625,,,,,,,,,,,,,,,,,04507223
,,02303591,,,,,,,,,,,,,,,,,04259022
,,01990399,,,,,,,,,,,,,,,,,04350712
,,02822410,,,,,,,,,,,,,,,,,04447894
,,02702613,,,,,,,,,,,,,,,,,04393099
,,02834163,,,,,,,,,,,,,,,,,04410750
,,02690630,,,,,,,,,,,,,,,,,04249589
,,02894351,,,,,,,,,,,,,,,,,04374520
,,02823720,,,,,,,,,,,,,,,,,04339959
,,02821689,,,,,,,,,,,,,,,,,04265020
,,02811213,,,,,,,,,,,,,,,,,04700550
,,02759594,,,,,,,,,,,,,,,,,04577817
,,02768725,,,,,,,,,,,,,,,,,04609563
,,02643516,,,,,,,,,,,,,,,,,04717052
,,02793762,,,,,,,,,,,,,,,,,04625880
,,02692264,,,,,,,,,,,,,,,,,04913913
,,02719511,,,,,,,,,,,,,,,,,04822800
,,02756926,,,,,,,,,,,,,,,,,04615809
,,02877927,,,,,,,,,,,,,,,,,04720506
,,02717054,,,,,,,,,,,,,,,,,04592657
,,02620287,,,,,,,,,,,,,,,,,04715053
,,02624327,,,,,,,,,,,,,,,,,04715668
,,02608091,,,,,,,,,,,,,,,,,04736551
,,02678057,,,,,,,,,,,,,,,,,04649760
,,02766792,,,,,,,,,,,,,,,,,04640102
,,02591791,,,,,,,,,,,,,,,,,04749385
,,02587210,,,,,,,,,,,,,,,,,05341436
,,03104801,,,,,,,,,,,,,,,,,05257079
,,03120171,,,,,,,,,,,,,,,,,04965551
,,03004971,,,,,,,,,,,,,,,,,04918005
,,02901661,,,,,,,,,,,,,,,,,05189798
,,02920844,,,,,,,,,,,,,,,,,04994923
,,03026495,,,,,,,,,,,,,,,,,05021950
,,02946840,,,,,,,,,,,,,,,,,05288766
,,02918953,,,,,,,,,,,,,,,,,05043715
,,02973718,,,,,,,,,,,,,,,,,05012258
,,03026636,,,,,,,,,,,,,,,,,05087226
,,02967967,,,,,,,,,,,,,,,,,05188503
,,03047011,,,,,,,,,,,,,,,,,05344640
,,02912741,,,,,,,,,,,,,,,,,05054938
,,02938633,,,,,,,,,,,,,,,,,05158680
,,03350463,,,,,,,,,,,,,,,,,05251452
,,03313457,,,,,,,,,,,,,,,,,05011427
,,03176191,,,,,,,,,,,,,,,,,05262030
,,03264965,,,,,,,,,,,,,,,,,04957306
,,03164605,,,,,,,,,,,,,,,,,05237924
,,03413714,,,,,,,,,,,,,,,,,05208653
,,03205792,,,,,,,,,,,,,,,,,05018387
,,03260618,,,,,,,,,,,,,,,,,04987794
,,03127428,,,,,,,,,,,,,,,,,05082525
,,03533041,,,,,,,,,,,,,,,,,05549629
,,03235739,,,,,,,,,,,,,,,,,05734108
,,03359843,,,,,,,,,,,,,,,,,05722148
,,03647001,,,,,,,,,,,,,,,,,05428511
,,03365493,,,,,,,,,,,,,,,,,05694248
,,03438831,,,,,,,,,,,,,,,,,05732617
,,03452166,,,,,,,,,,,,,,,,,05825940
,,03408642,,,,,,,,,,,,,,,,,05559765
,,03326711,,,,,,,,,,,,,,,,,05735303
,,03216535,,,,,,,,,,,,,,,,,05422313
,,03559214,,,,,,,,,,,,,,,,,05914963
,,03505733,,,,,,,,,,,,,,,,,05886711
,,03357623,,,,,,,,,,,,,,,,,05600216
,,03382976,,,,,,,,,,,,,,,,,05727696
,,03410247,,,,,,,,,,,,,,,,,05684760
,,03672525,,,,,,,,,,,,,,,,,05848604
,,03532388,,,,,,,,,,,,,,,,,05555951
,,03666296,,,,,,,,,,,,,,,,,05619366
,,03600901,,,,,,,,,,,,,,,,,05493777
,,03490622,,,,,,,,,,,,,,,,,05913660
,,03632235,,,,,,,,,,,,,,,,,05698647
,,03322489,,,,,,,,,,,,,,,,,06505720
,,03263871,,,,,,,,,,,,,,,,,06351990
,,03657036,,,,,,,,,,,,,,,,,05949544
,,03348635,,,,,,,,,,,,,,,,,05970892
,,03267875,,,,,,,,,,,,,,,,,06276285
,,03245593,,,,,,,,,,,,,,,,,06254586
,,03595593,,,,,,,,,,,,,,,,,06456223
,,03290562,,,,,,,,,,,,,,,,,06294034
,,03662640,,,,,,,,,,,,,,,,,06005446
,,03473118,,,,,,,,,,,,,,,,,06296413
,,03566179,,,,,,,,,,,,,,,,,06542136
,,03587140,,,,,,,,,,,,,,,,,06603319
,,03165128,,,,,,,,,,,,,,,,,06183755
,,04113338,,,,,,,,,,,,,,,,,06100850
,,04119677,,,,,,,,,,,,,,,,,06272388
,,04048450,,,,,,,,,,,,,,,,,05998530
,,03997470,,,,,,,,,,,,,,,,,06506615
,,03685155,,,,,,,,,,,,,,,,,06544568
,,04038636,,,,,,,,,,,,,,,,,06396681
,,03840674,,,,,,,,,,,,,,,,,06273193
,,03675847,,,,,,,,,,,,,,,,,06435165
,,04167526,,,,,,,,,,,,,,,,,06484690
,,04138012,,,,,,,,,,,,,,,,,06145018
,,03711423,,,,,,,,,,,,,,,,,06291639
,,04043845,,,,,,,,,,,,,,,,,06378849
,,04173366,,,,,,,,,,,,,,,,,06405269
,,03962261,,,,,,,,,,,,,,,,,06192793
,,03861110,,,,,,,,,,,,,,,,,06352846
,,04159558,,,,,,,,,,,,,,,,,06043758
,,03967698,,,,,,,,,,,,,,,,,06278415
,,04087772,,,,,,,,,,,,,,,,,06460432
,,03859367,,,,,,,,,,,,,,,,,06306082
,,04142678,,,,,,,,,,,,,,,,,06338066
,,04122991,,,,,,,,,,,,,,,,,06502371
,,03884424,,,,,,,,,,,,,,,,,06565573
,,04202145,,,,,,,,,,,,,,,,,06377506
,,03830084,,,,,,,,,,,,,,,,,06377539
,,03867561,,,,,,,,,,,,,,,,,07095855
,,04223987,,,,,,,,,,,,,,,,,06776815
,,03858599,,,,,,,,,,,,,,,,,06763736
,,03714193,,,,,,,,,,,,,,,,,06964423
,,03861904,,,,,,,,,,,,,,,,,06972482
,,03879044,,,,,,,,,,,,,,,,,06714432
,,03753188,,,,,,,,,,,,,,,,,07158830
,,04001363,,,,,,,,,,,,,,,,,07006260
,,03681108,,,,,,,,,,,,,,,,,07144213
,,03737259,,,,,,,,,,,,,,,,,07066690
,,04188950,,,,,,,,,,,,,,,,,07090668
,,03938360,,,,,,,,,,,,,,,,,07068544
,,03674510,,,,,,,,,,,,,,,,,07118599
,,03990337,,,,,,,,,,,,,,,,,06732053
,,04020027,,,,,,,,,,,,,,,,,06739582
,,03766330,,,,,,,,,,,,,,,,,07039876
,,03947256,,,,,,,,,,,,,,,,,07109106
,,04156878,,,,,,,,,,,,,,,,,06856148
,,04210685,,,,,,,,,,,,,,,,,07166642
,,03970868,,,,,,,,,,,,,,,,,06856631
,,04026531,,,,,,,,,,,,,,,,,06646560
,,04093237,,,,,,,,,,,,,,,,,06801151
,,03811440,,,,,,,,,,,,,,,,,07073312
,,03894660,,,,,,,,,,,,,,,,,06679299
,,04214056,,,,,,,,,,,,,,,,,06641917
,,03971783,,,,,,,,,,,,,,,,,06742828
,,03714233,,,,,,,,,,,,,,,,,06645891
,,04083974,,,,,,,,,,,,,,,,,06704044
,,03748606,,,,,,,,,,,,,,,,,06719960
,,04171739,,,,,,,,,,,,,,,,,06953791
,,04230174,,,,,,,,,,,,,,,,,06791383
,,04554727,,,,,,,,,,,,,,,,,06825291
,,04436731,,,,,,,,,,,,,,,,,06840394
,,04555028,,,,,,,,,,,,,,,,,06958987
,,04560614,,,,,,,,,,,,,,,,,06834588
,,04373358,,,,,,,,,,,,,,,,,06793934
,,04518467,,,,,,,,,,,,,,,,,06701957
,,04543543,,,,,,,,,,,,,,,,,07024465
,,04373077,,,,,,,,,,,,,,,,,06836408
,,04345156,,,,,,,,,,,,,,,,,07139209
,,04241216,,,,,,,,,,,,,,,,,07356683
,,04309124,,,,,,,,,,,,,,,,,07587198
,,04260683,,,,,,,,,,,,,,,,,07375560
,,04241381,,,,,,,,,,,,,,,,,08018505
,,04480770,,,,,,,,,,,,,,,,,07542692
,,04567369,,,,,,,,,,,,,,,,,08041947
,,04403183,,,,,,,,,,,,,,,,,07231750
,,04541208,,,,,,,,,,,,,,,,,08240557
,,04409536,,,,,,,,,,,,,,,,,07677286
,,04320486,,,,,,,,,,,,,,,,,07899590
,,04396848,,,,,,,,,,,,,,,,,08189104
,,04258792,,,,,,,,,,,,,,,,,07849080
,,04335586,,,,,,,,,,,,,,,,,07455784
,,04567447,,,,,,,,,,,,,,,,,07484676
,,04305056,,,,,,,,,,,,,,,,,07367706
,,04499349,,,,,,,,,,,,,,,,,07197804
,,04507223,,,,,,,,,,,,,,,,,07681202
,,04259022,,,,,,,,,,,,,,,,,07514201
,,04533302,,,,,,,,,,,,,,,,,07462323
,,04262026,,,,,,,,,,,,,,,,,07763362
,,04428521,,,,,,,,,,,,,,,,,07396728
,,04350712,,,,,,,,,,,,,,,,,07215629
,,04447894,,,,,,,,,,,,,,,,,07941888
,,04354279,,,,,,,,,,,,,,,,,08238387
,,04393099,,,,,,,,,,,,,,,,,07698586
,,04371207,,,,,,,,,,,,,,,,,07589269
,,04505951,,,,,,,,,,,,,,,,,07836046
,,04555813,,,,,,,,,,,,,,,,,07587702
,,04436021,,,,,,,,,,,,,,,,,07624858
,,04343771,,,,,,,,,,,,,,,,,07927105
,,04544994,,,,,,,,,,,,,,,,,07980124
,,04249589,,,,,,,,,,,,,,,,,07870190
,,04464937,,,,,,,,,,,,,,,,,07653454
,,04374520,,,,,,,,,,,,,,,,,07705213
,,04339959,,,,,,,,,,,,,,,,,07928622
,,04265020,,,,,,,,,,,,,,,,,07551638
,,04700550,,,,,,,,,,,,,,,,,08167139
,,04802119,,,,,,,,,,,,,,,,,07806618
,,04818207,,,,,,,,,,,,,,,,,08469929
,,04653522,,,,,,,,,,,,,,,,,08304400
,,04577817,,,,,,,,,,,,,,,,,08933025
,,04795287,,,,,,,,,,,,,,,,,09138704
,,04680748,,,,,,,,,,,,,,,,,09432767
,,04634533,,,,,,,,,,,,,,,,,09762423
,,04717052,,,,,,,,,,,,,,,,,08831402
,,04807401,,,,,,,,,,,,,,,,,09411518
,,04625880,,,,,,,,,,,,,,,,,09399873
,,04813508,,,,,,,,,,,,,,,,,09481978
,,04822800,,,,,,,,,,,,,,,,,09795643
,,04634068,,,,,,,,,,,,,,,,,09285991
,,04601149,,,,,,,,,,,,,,,,,08885653
,,04765299,,,,,,,,,,,,,,,,,08465934
,,04683984,,,,,,,,,,,,,,,,,09034203
,,04615809,,,,,,,,,,,,,,,,,09342278
,,04720506,,,,,,,,,,,,,,,,,09308870
,,04696549,,,,,,,,,,,,,,,,,08368639
,,04592657,,,,,,,,,,,,,,,,,09344295
,,04715053,,,,,,,,,,,,,,,,,09801090
,,04791004,,,,,,,,,,,,,,,,,08262748
,,04686904,,,,,,,,,,,,,,,,,08287363
,,04715668,,,,,,,,,,,,,,,,,08717747
,,04736551,,,,,,,,,,,,,,,,,08287203
,,04649760,,,,,,,,,,,,,,,,,08718305
,,04640102,,,,,,,,,,,,,,,,,09203605
,,04749385,,,,,,,,,,,,,,,,,08867487
,,04673783,,,,,,,,,,,,,,,,,09869982
,,04867283,,,,,,,,,,,,,,,,,11209946
,,05341436,,,,,,,,,,,,,,,,,09937883
,,05257079,,,,,,,,,,,,,,,,,10237981
,,04965551,,,,,,,,,,,,,,,,,11056449
,,05288308,,,,,,,,,,,,,,,,,10349918
,,04918005,,,,,,,,,,,,,,,,,09847297
,,05189798,,,,,,,,,,,,,,,,,10867783
,,05306425,,,,,,,,,,,,,,,,,09839093
,,05093038,,,,,,,,,,,,,,,,,11612629
,,05213235,,,,,,,,,,,,,,,,,11025360
,,04994923,,,,,,,,,,,,,,,,,11506836
,,05021950,,,,,,,,,,,,,,,,,10787347
,,05172193,,,,,,,,,,,,,,,,,11670177
,,05191166,,,,,,,,,,,,,,,,,11017012
,,05288766,,,,,,,,,,,,,,,,,11196377
,,05043715,,,,,,,,,,,,,,,,,10021288
,,05012258,,,,,,,,,,,,,,,,,10083650
,,04961950,,,,,,,,,,,,,,,,,11261848
,,05223020,,,,,,,,,,,,,,,,,09958550
,,05087226,,,,,,,,,,,,,,,,,11091061
,,05188503,,,,,,,,,,,,,,,,,10953910
,,05103710,,,,,,,,,,,,,,,,,11092385
,,05118397,,,,,,,,,,,,,,,,,11341619
,,05344640,,,,,,,,,,,,,,,,,10852900
,,05349453,,,,,,,,,,,,,,,,,11683244
,,05054938,,,,,,,,,,,,,,,,,11439734
,,05158680,,,,,,,,,,,,,,,,,10250375
,,05251452,,,,,,,,,,,,,,,,,10817824
,,05011427,,,,,,,,,,,,,,,,,10692001
,,05127651,,,,,,,,,,,,,,,,,11756687
,,05262030,,,,,,,,,,,,,,,,,10441689
,,04994515,,,,,,,,,,,,,,,,,12516033
,,05132917,,,,,,,,,,,,,,,,,12207204
,,05021652,,,,,,,,,,,,,,,,,13468013
,,05124663,,,,,,,,,,,,,,,,,11872641
,,05129606,,,,,,,,,,,,,,,,,12916607
,,04957306,,,,,,,,,,,,,,,,,11886813
,,05237924,,,,,,,,,,,,,,,,,11933925
,,05208653,,,,,,,,,,,,,,,,,12310446
,,05018387,,,,,,,,,,,,,,,,,12579117
,,05283023,,,,,,,,,,,,,,,,,12185457
,,04987794,,,,,,,,,,,,,,,,,12194167
,,05082525,,,,,,,,,,,,,,,,,12577277
,,05138340,,,,,,,,,,,,,,,,,OC335066
,,05308714,,,,,,,,,,,,,,,,,12226672
,,05255620,,,,,,,,,,,,,,,,,13142796
,,05220945,,,,,,,,,,,,,,,,,13299180
,,05760284,,,,,,,,,,,,,,,,,12454736
,,05419332,,,,,,,,,,,,,,,,,11838630
,,05794794,,,,,,,,,,,,,,,,,11945365
,,05867605,,,,,,,,,,,,,,,,,12092628
,,05802859,,,,,,,,,,,,,,,,,SC238500
,,05549629,,,,,,,,,,,,,,,,,SC469686
,,05352288,,,,,,,,,,,,,,,,,SC102034
,,05734108,,,,,,,,,,,,,,,,,SC259260
,,05722148,,,,,,,,,,,,,,,,,SC495661
,,05808829,,,,,,,,,,,,,,,,,SC411306
,,05571908,,,,,,,,,,,,,,,,,SC256151
,,05428511,,,,,,,,,,,,,,,,,SC276955
,,05694248,,,,,,,,,,,,,,,,,SC265632
,,05687748,,,,,,,,,,,,,,,,,SC299694
,,05732617,,,,,,,,,,,,,,,,,SC407490
,,05710116,,,,,,,,,,,,,,,,,SC537245
,,05844350,,,,,,,,,,,,,,,,,SC313191
,,05825940,,,,,,,,,,,,,,,,,SC280783
,,05559765,,,,,,,,,,,,,,,,,SC351531
,,05392792,,,,,,,,,,,,,,,,,SC253590
,,05919346,,,,,,,,,,,,,,,,,SC574801
,,05735303,,,,,,,,,,,,,,,,,SC537145
,,05898794,,,,,,,,,,,,,,,,,SC454820
,,05521344,,,,,,,,,,,,,,,,,SC231664
,,05422313,,,,,,,,,,,,,,,,,SC501552
,,05612725,,,,,,,,,,,,,,,,,SC125938
,,05914963,,,,,,,,,,,,,,,,,SC467457
,,05580831,,,,,,,,,,,,,,,,,SC592429
,,05943435,,,,,,,,,,,,,,,,,SC590088
,,05592705,,,,,,,,,,,,,,,,,SC655479
,,05893596,,,,,,,,,,,,,,,,,SC627557
,,05886711,,,,,,,,,,,,,,,,,11332893
,,05828597,,,,,,,,,,,,,,,,,10225502
,,05600216,,,,,,,,,,,,,,,,,03151774
,,05727696,,,,,,,,,,,,,,,,,06307861
,,05684760,,,,,,,,,,,,,,,,,10493154
,,05848604,,,,,,,,,,,,,,,,,06653664
,,05511899,,,,,,,,,,,,,,,,,10285424
,,05555951,,,,,,,,,,,,,,,,,11840109
,,05619366,,,,,,,,,,,,,,,,,10286123
,,05816383,,,,,,,,,,,,,,,,,11693207
,,05493777,,,,,,,,,,,,,,,,,06200615
,,05913660,,,,,,,,,,,,,,,,,SC554498
,,05726341,,,,,,,,,,,,,,,,,08458193
,,05479494,,,,,,,,,,,,,,,,,10683955
,,05603868,,,,,,,,,,,,,,,,,09310907
,,05782639,,,,,,,,,,,,,,,,,10586290
,,05698647,,,,,,,,,,,,,,,,,11426161
,,06505720,,,,,,,,,,,,,,,,,07912073
,,06351990,,,,,,,,,,,,,,,,,
,,06076919,,,,,,,,,,,,,,,,,
,,05949544,,,,,,,,,,,,,,,,,
,,05970892,,,,,,,,,,,,,,,,,
,,06276285,,,,,,,,,,,,,,,,,
,,06254586,,,,,,,,,,,,,,,,,
,,06456223,,,,,,,,,,,,,,,,,
,,06581917,,,,,,,,,,,,,,,,,
,,05954331,,,,,,,,,,,,,,,,,
,,06072193,,,,,,,,,,,,,,,,,
,,05960865,,,,,,,,,,,,,,,,,
,,06294034,,,,,,,,,,,,,,,,,
,,06005446,,,,,,,,,,,,,,,,,
,,06296413,,,,,,,,,,,,,,,,,
,,05980241,,,,,,,,,,,,,,,,,
,,06048694,,,,,,,,,,,,,,,,,
,,06542136,,,,,,,,,,,,,,,,,
,,06603319,,,,,,,,,,,,,,,,,
,,06557850,,,,,,,,,,,,,,,,,
,,06137279,,,,,,,,,,,,,,,,,
,,06100850,,,,,,,,,,,,,,,,,
,,06269218,,,,,,,,,,,,,,,,,
,,06272388,,,,,,,,,,,,,,,,,
,,05998530,,,,,,,,,,,,,,,,,
,,06305452,,,,,,,,,,,,,,,,,
,,06506615,,,,,,,,,,,,,,,,,
,,06544568,,,,,,,,,,,,,,,,,
,,06396681,,,,,,,,,,,,,,,,,
,,06273193,,,,,,,,,,,,,,,,,
,,06435165,,,,,,,,,,,,,,,,,
,,06077954,,,,,,,,,,,,,,,,,
,,06484690,,,,,,,,,,,,,,,,,
,,06145018,,,,,,,,,,,,,,,,,
,,06100679,,,,,,,,,,,,,,,,,
,,06291639,,,,,,,,,,,,,,,,,
,,06378849,,,,,,,,,,,,,,,,,
,,06405269,,,,,,,,,,,,,,,,,
,,06483429,,,,,,,,,,,,,,,,,
,,06192793,,,,,,,,,,,,,,,,,
,,06352846,,,,,,,,,,,,,,,,,
,,06028997,,,,,,,,,,,,,,,,,
,,06043758,,,,,,,,,,,,,,,,,
,,06127731,,,,,,,,,,,,,,,,,
,,06278415,,,,,,,,,,,,,,,,,
,,06460432,,,,,,,,,,,,,,,,,
,,06306082,,,,,,,,,,,,,,,,,
,,06064546,,,,,,,,,,,,,,,,,
,,06338066,,,,,,,,,,,,,,,,,
,,05997693,,,,,,,,,,,,,,,,,
,,06502371,,,,,,,,,,,,,,,,,
,,06565573,,,,,,,,,,,,,,,,,
,,06377506,,,,,,,,,,,,,,,,,
,,06377539,,,,,,,,,,,,,,,,,
,,07095855,,,,,,,,,,,,,,,,,
,,06776815,,,,,,,,,,,,,,,,,
,,06763736,,,,,,,,,,,,,,,,,
,,06964423,,,,,,,,,,,,,,,,,
,,06871158,,,,,,,,,,,,,,,,,
,,07116748,,,,,,,,,,,,,,,,,
,,06776385,,,,,,,,,,,,,,,,,
,,06972482,,,,,,,,,,,,,,,,,
,,06714432,,,,,,,,,,,,,,,,,
,,07158830,,,,,,,,,,,,,,,,,
,,07006260,,,,,,,,,,,,,,,,,
,,06846982,,,,,,,,,,,,,,,,,
,,07107345,,,,,,,,,,,,,,,,,
,,07144213,,,,,,,,,,,,,,,,,
,,06978420,,,,,,,,,,,,,,,,,
,,07066690,,,,,,,,,,,,,,,,,
,,07090668,,,,,,,,,,,,,,,,,
,,07068544,,,,,,,,,,,,,,,,,
,,07178603,,,,,,,,,,,,,,,,,
,,06610329,,,,,,,,,,,,,,,,,
,,07118599,,,,,,,,,,,,,,,,,
,,06925697,,,,,,,,,,,,,,,,,
,,06732053,,,,,,,,,,,,,,,,,
,,06739582,,,,,,,,,,,,,,,,,
,,07039876,,,,,,,,,,,,,,,,,
,,07109106,,,,,,,,,,,,,,,,,
,,06643885,,,,,,,,,,,,,,,,,
,,06856148,,,,,,,,,,,,,,,,,
,,07166642,,,,,,,,,,,,,,,,,
,,06646560,,,,,,,,,,,,,,,,,
,,06801151,,,,,,,,,,,,,,,,,
,,07073312,,,,,,,,,,,,,,,,,
,,06679299,,,,,,,,,,,,,,,,,
,,06641917,,,,,,,,,,,,,,,,,
,,06742828,,,,,,,,,,,,,,,,,
,,06654606,,,,,,,,,,,,,,,,,
,,06975112,,,,,,,,,,,,,,,,,
,,06645891,,,,,,,,,,,,,,,,,
,,06704044,,,,,,,,,,,,,,,,,
,,06994143,,,,,,,,,,,,,,,,,
,,07129740,,,,,,,,,,,,,,,,,
,,06719960,,,,,,,,,,,,,,,,,
,,06953791,,,,,,,,,,,,,,,,,
,,06971423,,,,,,,,,,,,,,,,,
,,06821812,,,,,,,,,,,,,,,,,
,,07130140,,,,,,,,,,,,,,,,,
,,06825291,,,,,,,,,,,,,,,,,
,,06840394,,,,,,,,,,,,,,,,,
,,06958987,,,,,,,,,,,,,,,,,
,,06924063,,,,,,,,,,,,,,,,,
,,06834588,,,,,,,,,,,,,,,,,
,,07002691,,,,,,,,,,,,,,,,,
,,06793934,,,,,,,,,,,,,,,,,
,,06701957,,,,,,,,,,,,,,,,,
,,06879773,,,,,,,,,,,,,,,,,
,,07024465,,,,,,,,,,,,,,,,,
,,06836408,,,,,,,,,,,,,,,,,
,,07139209,,,,,,,,,,,,,,,,,
,,07356683,,,,,,,,,,,,,,,,,
,,07914698,,,,,,,,,,,,,,,,,
,,07587198,,,,,,,,,,,,,,,,,
,,07375560,,,,,,,,,,,,,,,,,
,,07995370,,,,,,,,,,,,,,,,,
,,08018505,,,,,,,,,,,,,,,,,
,,07656320,,,,,,,,,,,,,,,,,
,,07983226,,,,,,,,,,,,,,,,,
,,08000770,,,,,,,,,,,,,,,,,
,,08201481,,,,,,,,,,,,,,,,,
,,07542692,,,,,,,,,,,,,,,,,
,,07636512,,,,,,,,,,,,,,,,,
,,08041947,,,,,,,,,,,,,,,,,
,,07231750,,,,,,,,,,,,,,,,,
,,08253801,,,,,,,,,,,,,,,,,
,,08240557,,,,,,,,,,,,,,,,,
,,07183229,,,,,,,,,,,,,,,,,
,,07522415,,,,,,,,,,,,,,,,,
,,07420834,,,,,,,,,,,,,,,,,
,,08039079,,,,,,,,,,,,,,,,,
,,07677286,,,,,,,,,,,,,,,,,
,,07851652,,,,,,,,,,,,,,,,,
,,07899590,,,,,,,,,,,,,,,,,
,,08189104,,,,,,,,,,,,,,,,,
,,07849080,,,,,,,,,,,,,,,,,
,,07758763,,,,,,,,,,,,,,,,,
,,07455784,,,,,,,,,,,,,,,,,
,,07484676,,,,,,,,,,,,,,,,,
,,07367706,,,,,,,,,,,,,,,,,
,,07693958,,,,,,,,,,,,,,,,,
,,07366723,,,,,,,,,,,,,,,,,
,,07197804,,,,,,,,,,,,,,,,,
,,07985144,,,,,,,,,,,,,,,,,
,,07681202,,,,,,,,,,,,,,,,,
,,07379060,,,,,,,,,,,,,,,,,
,,07514201,,,,,,,,,,,,,,,,,
,,07425392,,,,,,,,,,,,,,,,,
,,07846546,,,,,,,,,,,,,,,,,
,,07805571,,,,,,,,,,,,,,,,,
,,07462323,,,,,,,,,,,,,,,,,
,,07258496,,,,,,,,,,,,,,,,,
,,07763362,,,,,,,,,,,,,,,,,
,,07396728,,,,,,,,,,,,,,,,,
,,07215629,,,,,,,,,,,,,,,,,
,,07941888,,,,,,,,,,,,,,,,,
,,08238387,,,,,,,,,,,,,,,,,
,,07698586,,,,,,,,,,,,,,,,,
,,07589269,,,,,,,,,,,,,,,,,
,,07715222,,,,,,,,,,,,,,,,,
,,07317807,,,,,,,,,,,,,,,,,
,,07290068,,,,,,,,,,,,,,,,,
,,08080146,,,,,,,,,,,,,,,,,
,,07227999,,,,,,,,,,,,,,,,,
,,07587702,,,,,,,,,,,,,,,,,
,,07624858,,,,,,,,,,,,,,,,,
,,07179137,,,,,,,,,,,,,,,,,
,,07862505,,,,,,,,,,,,,,,,,
,,07927105,,,,,,,,,,,,,,,,,
,,07562551,,,,,,,,,,,,,,,,,
,,07980124,,,,,,,,,,,,,,,,,
,,07870190,,,,,,,,,,,,,,,,,
,,07653454,,,,,,,,,,,,,,,,,
,,07705213,,,,,,,,,,,,,,,,,
,,07562209,,,,,,,,,,,,,,,,,
,,07928622,,,,,,,,,,,,,,,,,
,,07594378,,,,,,,,,,,,,,,,,
,,07551638,,,,,,,,,,,,,,,,,
,,08167139,,,,,,,,,,,,,,,,,
,,07806618,,,,,,,,,,,,,,,,,
,,08469929,,,,,,,,,,,,,,,,,
,,08788911,,,,,,,,,,,,,,,,,
,,09118492,,,,,,,,,,,,,,,,,
,,08505046,,,,,,,,,,,,,,,,,
,,08526639,,,,,,,,,,,,,,,,,
,,08588242,,,,,,,,,,,,,,,,,
,,08304400,,,,,,,,,,,,,,,,,
,,08933025,,,,,,,,,,,,,,,,,
,,09138704,,,,,,,,,,,,,,,,,
,,09432767,,,,,,,,,,,,,,,,,
,,09762423,,,,,,,,,,,,,,,,,
,,08831402,,,,,,,,,,,,,,,,,
,,08331473,,,,,,,,,,,,,,,,,
,,09411518,,,,,,,,,,,,,,,,,
,,08358179,,,,,,,,,,,,,,,,,
,,09399873,,,,,,,,,,,,,,,,,
,,09185187,,,,,,,,,,,,,,,,,
